Run	Seed	Opt	Pes	Best
1	501	334.30	127.18	72.48
2	502	88.87	224.39	49.58
3	503	192.25	210.42	37.81
4	504	189.91	130.01	90.84
5	505	216.11	106.35	76.62
6	506	128.63	111.51	67.63
7	507	134.22	94.41	157.25
8	508	182.04	184.84	233.85
9	509	101.63	74.27	52.48
10	510	285.77	149.96	66.42
11	511	144.17	170.22	49.19
12	512	0.00	48.88	0.00
13	513	69.34	506.57	58.33
14	514	162.37	150.06	89.45
15	515	68.72	155.59	37.55
16	516	149.31	173.02	61.10
17	517	100.71	91.84	66.20
18	518	58.93	71.63	36.11
19	519	151.94	243.00	53.08
20	520	164.39	215.46	82.61
21	521	183.80	65.96	32.22
22	522	122.69	131.51	100.92
23	523	75.75	101.23	31.10
24	524	93.13	123.55	40.19
25	525	78.36	98.03	49.86
26	526	128.36	145.30	38.10
27	527	105.17	81.32	21.99
28	528	127.31	72.55	56.40
29	529	98.79	67.88	34.47
30	530	92.93	126.86	36.80
31	531	49.21	88.37	30.23
32	532	311.32	102.64	73.84
33	533	132.00	101.03	30.35
34	534	99.53	47.00	18.60
35	535	165.83	189.26	88.44
36	536	247.43	116.65	99.56
37	537	389.45	80.02	50.73
38	538	117.02	145.01	36.74
39	539	120.95	204.45	52.89
40	540	157.32	153.78	36.63
41	541	58.39	92.63	31.70
42	542	146.91	120.28	42.82
43	543	191.99	143.52	71.87
44	544	91.91	220.83	68.84
45	545	241.74	145.04	94.20
46	546	88.17	127.78	56.64
47	547	70.62	72.98	43.03
48	548	103.51	86.69	45.67
49	549	71.83	108.35	38.22
50	550	146.02	224.64	156.69
51	551	78.34	105.89	29.02
52	552	140.94	227.51	41.18
53	553	60.42	62.00	212.51
54	554	260.55	258.16	91.19
55	555	105.30	63.19	349.83
56	556	66.45	69.53	32.38
57	557	155.22	113.90	57.06
58	558	49.27	115.42	23.14
59	559	172.37	80.53	43.81
60	560	143.71	173.58	72.53
61	561	210.18	172.00	73.26
62	562	98.84	97.70	65.44
63	563	257.77	291.36	73.53
64	564	96.05	105.35	46.71
65	565	95.03	76.06	47.25
66	566	72.28	208.86	20.62
67	567	59.00	133.53	40.71
68	568	169.11	172.48	47.40
69	569	120.72	265.06	60.98
70	570	97.04	112.75	48.87
71	571	76.78	57.94	24.27
72	572	125.31	224.18	77.16
73	573	290.38	219.03	77.04
74	574	331.28	125.11	62.64
75	575	150.74	250.99	41.80
76	576	78.55	148.73	26.59
77	577	159.20	187.78	34.50
78	578	70.14	67.48	50.42
79	579	140.29	110.73	307.79
80	580	124.81	124.95	42.46
81	581	84.24	79.13	42.43
82	582	88.69	74.15	38.37
83	583	79.55	57.10	48.69
84	584	103.55	180.36	38.35
85	585	235.55	105.82	50.97
86	586	222.56	156.62	51.14
87	587	173.11	287.00	50.17
88	588	98.75	190.92	51.89
89	589	83.03	83.47	32.82
90	590	127.41	165.60	60.77
91	591	129.62	165.39	41.13
92	592	111.72	103.74	79.60
93	593	104.94	96.95	21.08
94	594	218.54	106.05	78.83
95	595	85.96	114.71	33.20
96	596	160.40	149.80	38.22
97	597	100.50	60.93	29.28
98	598	67.32	63.02	27.03
99	599	140.63	124.91	50.92
100	600	85.27	485.46	53.50
