Run	Seed	Opt1	Opt05	Opt01
1	501	181.91	244.20	228.10
2	502	111.77	111.84	126.40
3	503	127.39	142.59	95.77
4	504	121.06	124.47	111.12
5	505	106.26	110.52	262.89
6	506	106.29	161.11	197.80
7	507	79.52	90.75	82.87
8	508	119.26	210.77	129.61
9	509	71.84	132.54	82.50
10	510	166.11	133.81	206.81
11	511	155.73	182.79	163.10
12	512	0.00	0.00	0.00
13	513	236.06	445.66	457.48
14	514	156.15	204.18	186.80
15	515	107.53	84.68	87.03
16	516	319.01	227.61	262.90
17	517	96.78	81.65	79.55
18	518	101.38	84.57	136.67
19	519	160.70	275.53	147.12
20	520	213.99	156.27	148.83
21	521	134.91	89.24	69.84
22	522	144.90	170.33	283.72
23	523	89.85	187.58	120.47
24	524	109.22	104.36	168.17
25	525	74.36	92.38	76.72
26	526	150.14	130.15	200.14
27	527	80.65	90.13	94.13
28	528	79.84	94.15	73.88
29	529	49.42	59.11	46.77
30	530	86.14	138.49	129.21
31	531	79.64	52.76	68.86
32	532	89.76	126.87	89.77
33	533	136.16	119.17	113.10
34	534	50.89	62.53	52.39
35	535	239.03	111.00	171.68
36	536	195.20	321.11	142.34
37	537	87.07	297.25	101.17
38	538	71.57	119.22	113.88
39	539	130.50	138.24	145.07
40	540	290.42	218.82	298.10
41	541	70.41	60.09	58.40
42	542	25.28	23.41	0.00
43	543	154.04	178.52	311.69
44	544	500.21	532.61	96.87
45	545	196.08	137.55	213.34
46	546	150.27	109.09	77.18
47	547	91.40	128.63	135.56
48	548	64.49	78.54	85.06
49	549	78.08	83.24	56.83
50	550	120.27	116.75	103.40
51	551	65.87	72.99	115.05
52	552	98.35	137.31	147.16
53	553	57.48	95.39	80.26
54	554	183.61	177.09	140.75
55	555	115.45	95.94	139.38
56	556	81.73	83.53	70.77
57	557	133.84	135.37	166.31
58	558	61.57	51.87	105.89
59	559	109.50	127.56	113.49
60	560	174.18	189.26	147.06
61	561	248.50	130.10	232.01
62	562	122.51	104.28	96.60
63	563	79.75	105.38	245.18
64	564	102.07	119.73	65.38
65	565	121.23	77.47	86.94
66	566	105.65	59.81	92.60
67	567	74.04	85.22	93.27
68	568	156.52	156.43	252.18
69	569	301.55	87.92	143.71
70	570	84.57	82.40	97.85
71	571	71.99	90.19	109.58
72	572	281.69	173.22	144.85
73	573	198.56	312.91	398.72
74	574	273.10	292.82	325.62
75	575	307.07	109.99	110.69
76	576	70.38	70.38	70.38
77	577	116.92	179.88	169.11
78	578	130.15	99.33	64.19
79	579	119.49	109.19	128.70
80	580	342.69	401.72	125.52
81	581	69.07	74.13	71.45
82	582	53.42	94.25	75.34
83	583	103.14	98.33	321.96
84	584	119.67	106.51	105.19
85	585	104.62	112.17	80.75
86	586	174.84	140.21	173.48
87	587	99.18	140.96	119.56
88	588	177.69	133.48	124.26
89	589	75.40	62.62	64.29
90	590	130.86	96.33	127.97
91	591	136.81	126.68	135.29
92	592	165.07	195.50	129.36
93	593	64.01	52.79	73.44
94	594	170.37	168.14	163.39
95	595	74.88	72.50	87.65
96	596	121.91	88.18	78.23
97	597	101.73	126.61	108.02
98	598	63.40	53.79	77.59
99	599	133.15	116.31	99.69
100	600	446.32	334.20	261.37
