Run	Seed	Opt1	Opt05	Opt01
1	201	133.08	149.49	154.32
2	202	63.19	67.95	88.14
3	203	87.49	107.36	107.06
4	204	85.48	111.98	59.13
5	205	108.09	116.21	77.65
6	206	112.92	241.71	122.47
7	207	113.16	107.93	120.59
8	208	246.62	116.31	121.27
9	209	74.09	82.66	66.28
10	210	60.04	96.26	84.33
11	211	100.83	349.54	312.22
12	212	116.62	152.42	136.11
13	213	71.65	85.74	478.76
14	214	108.44	69.52	90.68
15	215	161.30	115.99	142.19
16	216	75.85	89.55	96.48
17	217	137.42	126.27	163.26
18	218	57.83	64.37	86.42
19	219	279.79	287.86	109.42
20	220	100.85	75.25	90.21
21	221	327.68	216.41	278.57
22	222	63.84	50.17	61.11
