Run	Seed	Opt2	Opt3	Opt5
1	201	84.74	129.77	155.39
2	202	84.64	104.35	95.21
3	203	79.49	154.70	102.21
4	204	27.44	22.02	0.00
5	205	53.40	141.80	59.00
6	206	244.44	197.04	258.17
7	207	118.14	94.78	95.37
8	208	207.39	174.19	507.24
9	209	90.08	60.68	78.81
10	210	81.19	69.65	62.30
11	211	104.50	255.73	280.46
12	212	174.99	270.62	141.14
13	213	71.27	95.13	110.79
14	214	77.59	102.25	85.49
15	215	146.10	151.72	125.29
16	216	74.93	87.38	89.86
17	217	170.01	168.60	182.82
18	218	74.41	63.35	63.15
19	219	203.84	202.59	236.26
20	220	95.88	89.53	81.82
21	221	301.07	167.10	365.09
22	222	68.70	85.04	100.84
